Name,Platform,Widgets,Ads,Type,Status,Region,Segment,Notes
Swimming World,"Mobile, Web",Smart-Scroll,No,Publisher,Active – Organic Launch,US,,Experiment with TopShelf placements
On3,"Mobile, Web",Smart-Scroll,No,Publisher,Active – Organic Launch,US,,Evaluate where $2-3 RPM baseline sits with On3
Spotcovery,"Mobile, Web",Smart-Scroll,No,Publisher,Active – Organic Launch,US,,Increase RPM
Defpen,"Mobile, Web",Smart-Scroll,No,Publisher,Active – Organic Launch,US,,"Connect with new leadership at DefPen. Our contact, Jared, has left the company."
Brit + Co,Mobile,"Smart-Scroll, Top-Shelf",Yes,Publisher,Active – Organic Launch,US,,Achieve $3.00 RPM Lift
DeepAI,"Mobile, Web",Top-Shelf,,Publisher,Paid Pilot,US,,Evaluate opportunity
Essence,"Mobile, Web",Smart-Scroll,No,Publisher,Onboarding,US,,Sign + Launch
RevContent,"Mobile, Web",Smart-Scroll,,Publisher,Onboarding,US,,Test RevContent demand
Stylecaster (SHE Media),"Mobile, Web",Top-Shelf,No,Publisher,Onboarding,US,,"Demonstrate the ability to generate clicks, conversions (orders, gross sales, commission)"
Paste Media,,,,Publisher,Late‑Stage Pipeline,US,,
Wild Sky Media,,,,Publisher,Late‑Stage Pipeline,US,,
The Midst,,,Yes,Publisher,Late‑Stage Pipeline,US,,
Green Planet,"Mobile, Web",,,Publisher,Late‑Stage Pipeline,US,,Mulaize and generate demo pages
Twist.Win,,,,Publisher,Late‑Stage Pipeline,US,,Sign + Launch
IGN,,,,Publisher,Late‑Stage Pipeline,US,,Sign + Launch
