Company,Status,Phase,Health,Goal,Next Steps,Key KPI (Leading),Key KPI (Lagging),Pilot Start,Baseline RPM,Incremental RPM Lift,Mula % Pageviews,Revenue Data,Program Name
Swimming World,Active – Organic Launch,Live,Needs Improvement,Experiment with TopShelf placements,Test and implement experiment with TopShelf widget,"Activation speed, Revenue Velocity, Scroll depth/Viewability","Revenue lift, expansion",June ‘25,,,,,Swimming World Pilot Program
On3,Active – Organic Launch,Live,Ok,Evaluate where $2-3 RPM baseline sits with On3,Grow pageviews,"Activation speed, Revenue Velocity, Scroll depth/Viewability","Revenue lift, expansion",July '25,,,,,On3 Pilot Program
Spotcovery,Active – Organic Launch,Live,Needs Improvement,Increase RPM,Optimize products and increase conversions,"Activation speed, Revenue Velocity, Scroll depth/Viewability","Revenue lift, expansion",April '25,,,,,Spotcovery Pilot Program
Defpen,Active – Organic Launch,Live,In Danger,"Connect with new leadership at DefPen. Our contact, Jared, has left the company.",https://www.notion.so/Investigate-DefPen-Ad-Tags-21b03985e9be8000ba69e89e6cad388f?pvs=21,"Activation speed, Revenue Velocity, Scroll depth/Viewability","Revenue lift, expansion",May '25,,,,,Defpen Pilot Program
Brit + Co,Active – Organic Launch,Live,Needs Improvement,Achieve $3.00 RPM Lift,Revisit and optimize pageview strategy with new targeting tools,"Activation speed, Revenue Velocity, Scroll depth/Viewability","Revenue lift, expansion",May '25,$16-18,$1.00,1-2%,https://docs.google.com/spreadsheets/d/1sjHAzEWg1BOvpkcIK_IUIux2m6FXD1VrB0EMzG5bSRw/edit?gid=0#gid=0,Brit + Co Pilot Program
DeepAI,Paid Pilot,Live,,Evaluate opportunity,Deploy experiment to help drive clicks to pub site or SKUs," Activation speed, tag deployment as % of overall pageviews","Arbitrage/Margin,",May '25,,,,,DeepAI Pilot Program
Essence,Onboarding,Onboarding,,Sign + Launch,"Sent demos (Esssence, Refinery29, and BeuatyCon)for review","Activation speed, Revenue Velocity, Scroll depth/Viewability","Revenue lift, expansion",,,,,,Essence Pilot Program
RevContent,Onboarding,Onboarding,,Test RevContent demand,https://www.notion.so/RevContent-Demand-Launch-22503985e9be80018c6cef4ffba2275b?pvs=21 into Mula widgets and launch supply partnerships,Ads fill rate %,RPM lift from demand integration,,,,,,RevContent Pilot Program
Stylecaster (SHE Media),Onboarding,Onboarding,,"Demonstrate the ability to generate clicks, conversions (orders, gross sales, commission)",Implement TopShelf demo and prepare for go live,Clicking,"Revenue lift, expansion",,,,,,Stylecaster (SHE Media) Pilot Program
Paste Media,Late‑Stage Pipeline,Inactive,,,,,,,,,,,Paste Media Pilot Program
Wild Sky Media,Late‑Stage Pipeline,Inactive,,,,,,,,,,,Wild Sky Media Pilot Program
The Midst,Late‑Stage Pipeline,Inactive,,,,,,,,,,,The Midst Pilot Program
Green Planet,Late‑Stage Pipeline,Inactive,,Mulaize and generate demo pages,Sign + Onboard,"Activation speed, Revenue Velocity, Scroll depth/Viewability","Revenue lift, expansion",,,,,,Green Planet Pilot Program
Twist.Win,Late‑Stage Pipeline,Inactive,,Sign + Launch,Sign + Onboard,"Activation speed, Revenue Velocity, Scroll depth/Viewability","Revenue lift, expansion",,,,,,Twist.Win Pilot Program
IGN,Late‑Stage Pipeline,Inactive,,Sign + Launch,Sign + Onboard,"Activation speed, Revenue Velocity, Scroll depth/Viewability","Revenue lift, expansion",,,,,,IGN Pilot Program
